instance,subset,iid,mk,lf,matheur,brkga,tm.mk,tm.mk.adj,tm.lf,tm.lf.adj,tm.matheur,tm.brkga
A1,A,1,218.2,218.2,218.2,226.98,2,2.9398,1,1.9765,0.17375,0.72215
A2,A,2,246.6,246.6,246.63,246.63,5,7.3495,1,1.9765,0.18125,0.7165
A3,A,3,305.9,305.9,305.86,305.86,7,10.2893,1,1.9765,0.4678,0.7282
A4,A,4,186.9,186.9,186.9,186.9,8,11.7592,1,1.9765,1.3018,0.7193
A5,A,5,189.5,189.5,189.54,191.97,2,2.9398,1,1.9765,0.2315,0.72185
A6,A,6,200.1,200.1,200.1,200.13,2,2.9398,1,1.9765,0.1753,0.72725
A7,A,7,225.4,225.4,225.37,225.37,1,1.4699,1,1.9765,0.1247,0.6936
A8,A,8,232,232,232.05,232.05,4,5.8796,1,1.9765,0.18535,0.69555
A9,A,9,222.3,222.3,222.3,234.21,20,29.398,1,1.9765,2.49885,0.7562
A10,A,10,225,225,225.01,225.01,1,1.4699,1,1.9765,0.1055,0.69865
B1,B,1,458.9,434.1,428.1,428.1,1,0,53.1,104.95215,42.9526,1.8622
B2,B,2,476.2,476,476.05,483.63,36000,52916.4,27.7,54.74905,12.87995,1.8567
B3,B,3,399.2,399.1,399.09,402.8,36000,52916.4,63.5,125.50775,210.9738,1.9183
B4,B,4,576,414,411.3,420.29,36000,52916.4,66.8,132.0302,20.7589,1.8538
B5,B,5,391.1,385.6,366.34,372.16,1,0,13.7,27.07805,76.0755,1.76505
B6,B,6,534.7,447.8,441.7,471,1,0,43.7,86.37305,261.42695,1.93265
B7,B,7,355.5,328.7,328.67,328.67,1,0,61.5,121.55475,42.71665,1.9843
B8,B,8,357.8,359.7,357.68,359.7,36000,52916.4,79.3,156.73645,36.4626,1.93325
B9,B,9,403.8,404.1,402.67,402.67,36000,52916.4,62.1,122.74065,220.289,2.08575
B10,B,10,500.4,462.7,462.75,469.58,1,0,8.7,17.19555,218.70455,1.9621
C1,C,1,1123.6,974.2,957.05,965.15,1,0,96.2,190.1393,1256.4878,5.89115
C2,C,2,673.8,605.1,582.99,583.39,1,0,106.4,210.2996,392.436,6.05615
C3,C,3,642.4,562.9,558.75,548.79,1,0,109.8,217.0197,538.63945,5.8366
C4,C,4,580.4,521.9,507.38,519.91,1,0,112.4,222.1586,214.5397,5.68395
C5,C,5,754.6,683.1,667.53,678.49,1,0,114.9,227.09985,376.0581,5.00935
C6,C,6,951.6,854.6,822.85,840.69,1,0,115.9,229.07635,1174.60865,5.85285
C7,C,7,577.4,529.2,521.89,534.01,1,0,109.4,216.2291,417.44785,6.576
C8,C,8,540.6,471,476.66,474.55,1,0,110.8,218.9962,137.0392,5.68675
C9,C,9,608.7,551.1,535.87,534.3,1,0,115.4,228.0881,411.818,6.6209
C10,C,10,679.3,608.9,590.26,611.25,1,0,99,195.6735,405.08055,5.51495
D1,D,1,1321.8,1278.2,1149.7,1186.2,5,7.3495,143,282.6395,2670.26325,13.81285
D2,D,2,892.7,746.9,690.21,693.28,4,5.8796,168.7,333.43555,1208.17445,11.5799
D3,D,3,819.4,678.6,643.23,635.67,4,5.8796,155.4,307.1481,1302.7481,13.9536
D4,D,4,877.4,809.7,798.99,809.45,4,5.8796,148.5,293.51025,1578.75685,11.63765
D5,D,5,872.1,777,688.53,691.5,5,7.3495,150.3,297.06795,1462.6606,13.47755
D6,D,6,835.2,768.6,712.15,733.67,5,7.3495,154.6,305.5669,1201.58065,14.433
D7,D,7,706.3,600.1,595.22,590.64,6,8.8194,168.1,332.24965,1331.292,15.03075
D8,D,8,811.4,715.5,666.09,661.78,4,5.8796,149.8,296.0797,1158.7251,13.8436
D9,D,9,842.7,741,671.23,704.63,6,8.8194,156,308.334,785.44555,13.18165
D10,D,10,1306.6,1424.6,1239.79,1208.71,3,4.4097,173.1,342.13215,2058.8124,11.0048
E1,E,1,1604.9,NA,1337.87,1331.49,17,24.9883,NA,NA,4989.208,24.4649
E2,E,2,1101.9,NA,858.38,848.08,10,14.699,NA,NA,4584.2305,23.5662
E3,E,3,986.4,NA,795.72,788.03,14,20.5786,NA,NA,3854.879,23.10385
E4,E,4,871,NA,732.28,711.19,19,27.9281,NA,NA,4406.3485,24.68825
E5,E,5,1018,NA,791.18,781.5,19,27.9281,NA,NA,5514.0165,23.0965
E6,E,6,1003,NA,831.76,788.08,19,27.9281,NA,NA,5007.031,24.44135
E7,E,7,921.1,NA,744.15,711.11,20,29.398,NA,NA,4233.7325,26.69215
E8,E,8,884.6,NA,745.18,748.48,19,27.9281,NA,NA,4619.1655,22.91285
E9,E,9,1131.7,NA,926.38,921.78,18,26.4582,NA,NA,4245.416,22.44415
E10,E,10,1053.6,NA,874.51,825.24,11,16.1689,NA,NA,4984.2795,23.9886
F1,F,1,1721.4,NA,NA,1372.69,889,1306.7411,NA,NA,NA,89.14505
F2,F,2,1763.8,NA,NA,1336.33,909,1336.1391,NA,NA,NA,95.01865
F3,F,3,1549.6,NA,NA,1263.39,868,1275.8732,NA,NA,NA,91.24335
F4,F,4,1420.4,NA,NA,1124.24,1321,1941.7379,NA,NA,NA,110.0917
F5,F,5,1701.9,NA,NA,1316.54,1145,1683.0355,NA,NA,NA,101.8491
F6,F,6,1639.7,NA,NA,1322.89,836,1228.8364,NA,NA,NA,85.44985
F7,F,7,1384.3,NA,NA,1131.27,1294,1902.0506,NA,NA,NA,107.72735
F8,F,8,1544.6,NA,NA,1132.77,924,1358.1876,NA,NA,NA,96.05495
F9,F,9,1572.9,NA,NA,1293.78,1642,2413.5758,NA,NA,NA,101.874
F10,F,10,1581,NA,NA,1418.53,1326,1949.0874,NA,NA,NA,98.95895
G1,G,1,2248,NA,NA,1778.54,7200,10583.28,NA,NA,NA,221.5505
G2,G,2,2316.1,NA,NA,1824.74,7200,10583.28,NA,NA,NA,243.94985
G3,G,3,1885.3,NA,NA,1514.23,7147,10505.3753,NA,NA,NA,216.57755
G4,G,4,2023.2,NA,NA,1564.42,7200,10583.28,NA,NA,NA,253.5167
G5,G,5,2247.6,NA,NA,1694.5,7200,10583.28,NA,NA,NA,211.7504
G6,G,6,2144.4,NA,NA,1714.38,7200,10583.28,NA,NA,NA,264.39135
G7,G,7,1971.5,NA,NA,1640.07,6934,10192.2866,NA,NA,NA,224.1853
G8,G,8,1987.4,NA,NA,1547.63,7200,10583.28,NA,NA,NA,221.2466
G9,G,9,2415.5,NA,NA,1942.21,7023,10323.1077,NA,NA,NA,229.19335
G10,G,10,2373.4,NA,NA,1872.08,7003,10293.7097,NA,NA,NA,205.688
